,Australia,Barbados,Belgium,Benin,Bolivia (Plurinational State of),Botswana,Brazil,Bulgaria,Burkina Faso,Cameroon,Canada,Chile,"China, Taiwan Province of","China, mainland",Colombia,Costa Rica,Croatia,Czechia,C̫te d'Ivoire,Denmark,Ecuador,El Salvador,Estonia,Finland,France,Georgia,Germany,Greece,Guatemala,Honduras,Hungary,India,Ireland,Israel,Italy,Jordan,Latvia,Lebanon,Lithuania,Luxembourg,Malawi,Malaysia,Mauritius,Mexico,Morocco,Netherlands,New Zealand,North Macedonia,Norway,Oman,Pakistan,Paraguay,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Rwanda,Saudi Arabia,Senegal,Slovakia,Slovenia,South Africa,Sri Lanka,Switzerland,Thailand,Togo,Trinidad and Tobago,Turkey,Uganda,Ukraine,United Kingdom,United Republic of Tanzania,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Zambia
1988-01-01,34652.05802877195,15.333854141053441,158442.86674610808,2178.4857163472875,17987.719852956117,341.82300302149997,6284729.933327567,372233.4556380548,15275.159945340687,140.83522632721719,558420.6889056145,37777.132489520794,559.4770946336923,4382323.688934689,1070.2606346060547,334.16659022035327,118642.5787951945,127776.9793106883,10456.812495008637,19293.22477525661,23629.832483455168,1651.2709225157585,334.51589537391646,6.550602731952789,6613734.955536775,5676.026999310554,499867.45559115644,75934.00757127407,8949.006640839241,1737.7297467835913,1848452.9222222217,1071937.5777828053,4086.123988029307,8833.341862503532,114491.4926436697,13447.780340297093,17381.618550265634,496.41003613632404,23922.481015459158,3159.1266655572226,29623.17776149622,10912.090485552135,369.2666666666666,216172.05136301805,1120.0360675368327,174945.36662947029,5549.774018075896,821.0642296876124,522.6130975579798,894.3846243326042,39112.05556203707,880511.2555788998,197791.822224617,23136.671734617332,451.99645698592695,76146.68891469917,915162.8000089194,666147.877778773,1407.9343755632488,330.49245439639947,438.65571478480376,178680.88139171054,60635.34914017653,910558.5556158522,58.08936962185805,130.94676448630256,519919.14417512435,974.3860453155047,1400.016813869528,44388.26416825844,63231.566622939885,3857950.3444444435,32516.136876946428,38799.47385848416,46631209.83333332,25530.411352979227,5263.637723571517,112566.86580687575
1989-01-01,31232.339955204297,8.76697544786848,6875.058380165428,633.1796850703581,590.3904397519436,75.09901975808566,52236.32336363321,14695.873245961711,1632.3666453809528,210.2809209438193,286297.9259219491,4497.043377547,655.1271468090428,2760217.4693200425,56.859358018219154,106.35278903595369,5608.98712306947,2477.3351071717625,933.1664007949057,2298.85809995222,1478.2053504118314,426.5701212615563,90.17247404961836,1.6446590298037216,4623792.502739467,810.6375816149002,15353.93854233995,298395.85997913615,2443.625096409763,457.4545761151187,291639.2207098194,81475.46566312628,787.1754136385625,830.8804877837705,207501.6466213148,405.6183705350104,501.9164584224927,98.94074324272509,443.4709482028811,41.383894021084416,28991.42125230075,-36417.19375695043,369.2666666666666,-300938.66030905343,454.4259679100265,35784.67494106249,18724.535264407146,19.013652730857757,220.53411209652484,421.1404627233163,5305.968280675753,15460.056484668437,3356.622734201199,2442.8551492222796,467.4336808808165,6848.972948895142,7368.948193992877,5061.129490380292,112.24027588258559,276.30483054461075,90.19555388284698,5162.4869585517445,1.0003649473073892,163780.0865485411,32.43262532760366,25.87423594218735,1396393.5681833858,309.78517911104325,302.1440980283751,17867.25217347648,1.000452936605143,32721.550508313812,12726.261935398834,8641.102591803461,40624938.53149412,5164.78066675357,1575.0511541129435,3764.5701517159323
1990-01-01,16173.962281132437,9.292292912596341,6875.058380165399,635.4630555043993,2960.1086213216113,75.09901975808566,52296.821218882375,14695.873245961731,2323.389319746051,175.21274280681115,124775.41241983199,15236.580492169871,797.4377817265182,4347344.652883688,56.85935801821919,266.518362559891,9188.869706099678,2477.335107171777,933.1664007949057,2255.787839546227,2095.620756418124,592.7410794855921,90.17247404961836,2.233897585093984,6616611.693959659,810.6375816149011,26127.659718721,191535.6189161159,1852.7136992194473,462.4244058746378,150232.71782042598,81472.38554594251,663.3512970467373,888.1332130219886,146548.2765361221,401.7375775324866,501.91645842249636,115.0529366670259,443.4709482028811,41.383894021084416,12724.789650906527,-9599.05394453573,369.2666666666666,-184248.44526660937,450.3463600129038,144591.94590581435,-931.3959022043233,19.013652730857643,214.8300471754582,574.0947065882132,5332.187243561447,25175.5437198388,3356.622734201228,2464.0590494587013,467.95372145527057,11354.049254250393,34181.99153804348,5061.129490380292,112.24027588258559,155.30654432785556,79.24601249217176,5162.486958551774,1.0005894263085793,176464.36385617137,48.218358031637905,30.52781977819801,481020.7656749827,309.78517911104325,302.4063673753776,17581.107831886853,1.000858935789438,32721.550508313347,15848.536728756004,9425.165575413717,53194340.18559082,5165.351922804185,1079.780160546093,3764.5701517159177
1991-01-01,20324.589562880985,6.92836432132097,6875.058380165399,984.5416133602132,9644.648357169766,280.3979314780254,52128.551228052005,13712.883715400763,2323.389319746051,156.10255584450897,147412.079122758,15035.44955746045,824.1950078249234,3790938.267434265,59.38671506922473,266.29020647225,3225.8285064643133,2477.335107171777,933.1664007949057,2258.1478538150477,2707.5006813650275,703.5642596404174,90.17247404961836,2.2338975850939833,5903661.139251651,810.6375816149011,9755.19018571607,120544.30499593887,1999.3208437324245,448.01189957203246,99011.39315977623,81436.656186615,873.3522928818049,826.5711428733672,119172.87295464346,953.1335833073093,501.91645842249636,136.97715032885503,443.4709482028811,41.383894021084416,12630.884732378212,2587.146420816951,369.2666666666666,-121039.94423900277,435.2518107935491,116568.79479318178,6651.261001681134,19.013652730857643,208.51483244142005,576.1857816006783,5332.187243561447,25231.198903797467,3356.622734201228,2490.0412934103733,467.8097218647491,11354.049254250407,34281.51708984356,5061.129490380292,112.24027588258559,220.48290209343747,79.24601249217176,5162.486958551774,1.0007035943199298,198785.5456674957,40.05332387437881,148.50985703235045,1064371.564260054,309.78517911104325,317.35572015453295,18129.105823929447,1.0011945018995903,32721.550508313347,13048.21530670503,15022.181125494171,53653880.22186364,5167.351318981336,963.2113518887254,3764.5701517159177
1992-01-01,25199.066050706533,39.23538840208437,6875.058380165399,984.5416133602131,10808.550756552964,423.6115306320876,51975.157759003654,12331.21941457619,2323.389319746051,118.07919415662934,388343.44044429343,14294.364088929307,917.1777873914922,4908016.029051538,91.61051746954482,266.9746747351728,3225.828506464408,2477.335107171777,933.1664007949057,2303.578128489861,2533.206032608581,578.14445771529,90.17247404961836,2.2338975850939833,6076781.661018431,810.6375816149011,202701.94105764577,204927.1706974216,1715.8591601936516,460.93345694678203,217453.78452781547,81430.49595224792,899.5288876007412,826.5711428733666,80376.0517665932,953.1335833073093,501.91645842249636,128.89514950993873,443.4709482028799,41.383894021084416,12630.884732378214,5156.525680459963,369.2666666666666,8227.622284301187,435.2518107935491,84442.92953441682,1593.2758138023805,19.013652730857643,208.31111583709628,340.8546982050393,5332.18724356145,14334.454884002567,3356.6227342012376,3582.191478827157,467.64263534978505,11354.049254250407,34492.471581698475,5061.129490380292,112.24027588258559,165.7519389653041,80.06722809647238,5162.486958551774,1.000703594302962,164725.04790295952,34.60996776953941,179.44250253053892,640218.6911594907,309.78517911104325,632.8657445988115,19400.23769110981,1.001194500895508,32721.550508313347,17031.75953270585,9499.82857033034,47049087.037953965,3846.8929579858377,1114.9265350156502,3764.5701517159177
1993-01-01,12058.719469012663,79.94749191849353,6875.058380165399,1016.0293854198234,8564.895134030065,493.00099761748015,52136.15478362981,12331.21941457619,2323.3893197460493,78.67674681167637,473770.0378582409,17868.402503798265,557.0475896280152,8447655.12347718,91.61051746954502,1443.5756186994815,103930.6889449593,2477.3351071717725,933.1664007949057,2371.4285387184777,3019.7990529085305,1239.5603116241664,90.17247404961836,2.233897585093983,6111750.714589284,810.6375816149011,251637.03352218462,344253.45706049947,2000.6908537184086,875.9142418666279,522173.4439008682,81561.40093254363,852.1757218732262,677.2831227629631,70161.19506525632,953.1335833073099,501.91645842249636,131.25388572499656,444.12528366681244,41.383894021084416,12592.556194203393,8007.165256072933,369.2666666666666,18316.064529354917,435.2518107935491,-17914.6814911509,7055.026348686057,19.013652730857643,212.99659773654392,480.6773066603141,5305.9682806757555,15642.253091735183,6025.233688676652,3641.3234823033745,467.77576207869225,11354.049254250393,10326.278876047736,5061.129490380292,112.24027588258559,203.23535691206646,80.06722809647243,5162.486958551774,365.01740378050215,217504.44282936747,18.27989945502123,183.8223461409019,712086.6206257978,309.78517911104325,769.7703437342341,20884.15601264714,1.0011945005899179,32721.550508313347,15652.20770774552,9499.828570330334,43521120.76097489,3850.891750340144,2619.484248766634,3764.5701517159177
1994-01-01,26974.15404531265,81.78610304504107,6875.058380165399,1052.6556669507224,1910.0171767811494,898.3815679005634,53192.05724083198,12331.21941457619,2323.389319746052,95.61979917000616,531387.289766031,20792.377658973328,470.916700401498,10219663.081973031,92.87419599504763,1447.4542721893774,101930.02942461919,4343.127548421986,933.1664007949057,2410.3687741540293,2843.67868557409,2211.086257508803,90.17247404961836,12.545572302673577,6784591.530882873,810.6375816149011,251386.86116008658,350172.4351870407,2070.350524349179,875.9142418666282,576746.9909123667,89776.68948416947,741.2928431199766,677.2831227629631,129898.37156579804,401.7375775324872,501.91645842249636,130.5082339101703,444.12528366681363,41.383894021084416,12592.55619420339,7454.450087331999,369.2666666666666,40923.79536387206,435.25181079354905,148409.06806003602,3326.7512278788518,19.013652730857643,210.75571508898196,1787.5349235063295,5305.9682806757555,15996.268642449595,6025.233688676613,5298.811458530656,467.9540484848384,11354.049254250387,11247.138217452175,5061.129490380292,112.24027588258559,171.60318054008462,153.97663248353018,5162.486958551781,753.7174440670424,217872.0170917908,15.558221402601529,101.15279799530086,363916.6152213847,309.7851791110432,1068.757399317341,29194.244357402997,1.0011945006481255,32721.550508313347,14414.312316517038,9499.828570330326,40552592.28559916,3853.7480305932113,4266.091892665414,6030.199960429367
1995-01-01,16137.655982110826,62.086698117746295,6875.058380165399,1153.4631411569435,1434.1390766455224,1058.551239814214,54634.41867501134,12331.21941457619,3886.957460678955,96.40784811690521,326981.1447260876,25726.64070777176,220.95370632136115,8706438.618018428,163.32427379182593,1452.701862205119,79152.3666893242,6021.62162442404,933.1664007949057,2506.8343573921084,21507.039048514736,1933.9058693146435,90.17247404961836,32.579683182542496,7921220.869909104,810.6375816149011,274852.5363935041,320206.42537148064,2404.9374915148164,931.5763351732421,475527.7639073229,95595.9548788106,775.4106519671298,677.2831227629631,108762.517027161,401.7375775324878,501.91645842249756,130.73836595416378,2047.2471702981504,41.383894021084416,12592.55619420339,7979.953626282779,369.2666666666666,45854.73708151534,439.331418690672,171192.6290634915,6818.477695051846,19.013652730857643,219.71924567922963,1117.7965383631358,5305.9682806757555,52814.809170202076,6431.554610035838,4275.05131753838,467.4392530805688,31124.516037627833,13345.771696768192,5061.129490380292,112.24027588258559,195.04559977901405,153.1554168792295,45516.772986970966,898.4148193076084,1408415.7714944952,12.836543350181831,84.72838445643973,348078.81801698223,314.10940261881984,759.0173005071224,46741.59672760026,51859.36200367628,32721.550508313347,16070.17350451998,9499.828570330326,41950743.040365934,3665.8047899410303,7641.901160466434,6030.199960429372
1996-01-01,6112.13717465396,22.425229530792848,6875.058380165399,4293.2573323276865,2648.659946029598,1121.1582776957712,58005.43851098015,12331.21941457619,6380.482157447799,97.19589706380427,415695.99750486226,22877.038481807856,243.68802273885117,4062735.965329724,184.80680872537266,512.0143128615384,18099.287611268097,6097.129342351308,933.1664007949057,2538.104546453993,35558.830892540434,1295.1281627853934,90.17247404961836,41.1236422342513,6977700.428017565,810.6375816149011,255303.53729160017,137582.2318087808,12773.991891718964,822.4885719517974,364847.598055986,101240.5776291518,780.9989137610606,677.2831227629631,84816.30629677606,409.175764120652,586.7328097560761,130.66680372975986,2046.5928348342154,41.383894021084416,12592.55619420339,9479.572887687476,369.2666666666666,71020.34366341258,453.40606593574586,136192.1487284414,2679.272227750951,19.013652730857643,215.4411969884295,1435.3503703462302,5305.9682806757555,145657.4949411401,4137.479795168173,5317.327540427252,467.1898228344205,36369.13297174587,76622.19976305086,5061.129490380292,112.24027588258559,175.4165086028087,299.8792715142776,45516.77298697094,923.5463326865332,1334107.9122625238,12.836543350181818,80.89602129737213,348078.717682751,324.57857532185756,620.2768159426807,44664.25682159482,82371.94493683519,32721.550508313347,15236.145770076178,9499.828570330323,49325529.73318445,3667.518558092876,25184.62820403836,6980.656151513646
1997-01-01,14650.368677025968,21.637253333701057,6875.058380165399,5875.661314101186,4315.522939052072,871.2518514852218,172998.30717659494,12331.21941457619,5748.863670414578,66.46198813474096,477183.49320729607,27509.338855034617,125.08248993906216,1076926.9051140915,217.9783700198198,508.13565937164253,25854.046396310718,4362.7399426888105,933.1664007949063,2540.7595625064155,59743.44196219346,1822.2315342756754,90.17247404961836,44.659073565992884,7012576.267330265,810.6375816149011,337210.987794175,107140.13401521614,20933.011292837273,2614.857674722366,351977.93147342734,110078.04985182914,1158.0595253304668,677.2831227629631,33669.19160941192,409.17576412065137,586.7328097560736,130.68900511329943,2928.309872481454,41.383894021084416,12592.556194203391,12206.084163794767,369.2666666666666,37040.086799885874,506.4409685983428,40865.43624260685,7141.257860149183,19.013652730857643,3629.935202059806,-40.454470422723944,5305.9682806757555,172232.0060391377,4137.479795168183,4401.378779510298,466.71805928132517,49863.150920796834,137407.84383694548,5061.129490380292,232.88266688978177,190.51698578581102,225.96986712721977,45516.772986970944,904.1741953824894,998768.101122757,11.74787212921395,52.42703783001283,298868.604496763,382.84179732137284,307.1272156214267,33603.490612525864,107527.48630754105,32721.550508313347,18487.368925499104,9499.82857033033,52789320.40261356,3675.8017708267857,30824.156874132805,4715.026342800198
1998-01-01,12885.837915492479,9.554951644960273,6875.058380165399,3355.2245606771608,5225.043345883098,567.8685804175091,289882.80823422817,12331.21941457619,8234.373457543506,67.05302484491526,395937.2041885478,34823.68815389205,164.6013384711605,3194801.9023393253,159.5332382153178,502.4317571806192,47341.52049929468,2812.3801758966383,1675.2031408177281,2416.56381160969,92037.09374477787,2090.129281941568,90.17247404961836,32.5796831825425,6673863.385284409,810.6375816149011,298725.06137606717,72494.40881586049,36479.20783547175,2725.9333698476185,678580.9965107464,104750.6791713807,1199.8244292640518,677.2831227629631,85858.7125896368,413.37995654005016,587.0565362878855,142.2759795485622,2863.5306615522663,41.383894021084416,12723.831437452152,7786.4838799555855,369.2666666666666,81607.62823574533,506.84892938805507,18011.69251909043,4188.692647949199,19.013652730857643,3623.416270721444,591.3412859177859,5305.9682806757555,195326.2894902739,3731.1588738089486,4913.557496488638,467.3847465604779,51576.30090949421,135098.2558657746,5061.129490380253,357.82275121530046,177.98671667034023,225.96986712721974,24882.5593519556,865.3681563946084,919354.0362892805,11.74787212921395,60.639244599443394,314924.9646608726,405.828459125869,306.078138233416,16006.58523240986,57569.055268736345,32721.550508313347,13708.986466592612,14960.80678889983,49158576.64389008,3686.0843797378484,28849.516401851488,6962.291404770658
1999-01-01,18038.500473816326,9.554951644960273,6875.058380165399,183.7591990309737,4314.2332965042815,435.8720755505592,293581.11154941685,12331.21941457619,4350.64232024967,71.97833076303436,328964.3013705347,48357.69118083302,246.8153811639649,5536954.98765611,330.1298391581889,151.07138221357724,7383.02093427318,13613.906318348087,8678.706202236095,2544.59458569325,74224.95397153971,1557.851080564975,510.7015276436139,28.16039401786553,7590351.822123287,810.6375816149011,358387.0462385119,71258.30087296912,38259.354399023796,4429.591011410771,1165423.0021771283,99590.5588539921,2090.711006833265,677.2831227629631,110341.91016603491,419.84794487758273,502.24018495429965,152.7677673824794,2863.5306615522686,41.383894021084416,12733.796857377607,18543.08060569466,369.2666666666666,178008.1717344185,493.1822429326936,56677.073303099234,6256.979842755558,19.013652730857643,3623.416270721443,273.78745393469137,5305.9682806757555,166308.33043294642,3356.622734201228,5125.596498852851,467.68576241490643,33249.280163785574,197740.49785779716,6960.921324117187,357.8227512153004,255.2656386404085,79.24601249217176,123492.30874673925,939.37014343599,844615.3988693173,11.747872129213953,72.95755475358925,304112.3228281186,419.711492492941,313.421679949492,17809.44032857127,34928.21806126203,32721.550508313347,9743.906833469617,16375.738569324321,43377995.0331984,8275.269862349713,27742.40560606042,6011.835213686379
2000-01-01,29516.148619445055,9.029634180232412,6875.058380165408,-1432.9035626148068,5178.2938035256,110.31547856646165,179990.9335932294,12331.21941457619,5913.450616344857,73.35741642010773,536898.0350099587,50192.90052865664,219.1937704774495,5155847.397498698,364.56507897813896,156.31897222931875,43368.99181978624,21184.290505340836,11328.05669054999,2640.1751635805144,66418.77407211455,1652.367112047847,514.3646727097637,17.554100022640803,7853820.823526839,810.6375816149015,413241.69805487164,66761.5638807199,34521.474555229055,3016.6684107794863,1675201.0281161144,85684.13778255512,2158.652505485787,677.2831227629625,104996.68186986013,461.243070237806,502.24018495429965,190.35814391394044,2214.4298813325586,41.383894021084416,12733.79685737761,21824.73656977908,369.2666666666666,148618.35829633928,440.14734027009655,43158.86541889169,3901.5791682750014,24.881855839257653,215.84863019707757,440.8763797089847,5318.069340469156,179397.49295754335,3356.6227342012376,7297.055070951685,468.07827512867595,78031.14092698002,195682.86493802673,7216.96152598244,237.18036020810428,192.81347800433872,136.73110479321667,173133.0267650135,416.44668841085513,1142114.5661242702,11.475704323971975,87.46578671291658,317542.5459998657,372.3726246183349,358.00746893995563,18332.90472256586,12197.911693428949,32721.550508313347,5905.60758988668,16933.057292167803,43623222.14029982,8268.414789742339,26124.207948191193,8678.26756535198
2001-01-01,41171.72151356477,7.191023053684901,21437.284081843005,989.4404106756273,4658.890267401961,258.48546821948037,63786.12428638176,12331.21941457617,19522.27348397864,72.96339194665819,478616.657219165,47847.34182684059,360.1859482331182,6445946.281455621,376.5700249704149,359.834202405034,25009.63302988319,28671.975763175138,10831.64504163947,2865.261524469361,52405.93475745222,4801.7190591606895,515.3415113940704,9.893998803867396,7985987.412502533,827.2126913756492,483109.6501272674,22314.73593417855,28056.202424075163,3114.077074066061,1615501.6354275097,95191.8435043456,2753.3612079766913,678.5143641659355,133137.37197057417,477.41304108164206,507.0960829314123,180.1106394847522,1202.1729186310597,90.74452932331087,12602.521614128844,23138.30043716843,369.2666666666666,44354.362980765065,435.65977158326154,48447.038853629296,5379.624261873999,88.78006746405818,222.97871134841054,480.21566969459013,5834.09310451613,204904.11382260668,4236.1109220465005,12925.04802806936,468.04559806147137,51775.524392212305,243437.2747196068,7336.0499919663025,112.24027588258559,497.5533456744911,240.75174800463134,225094.38166753447,55446.24486366079,396928.5488673753,11.475704323971982,82.81220287690593,293727.6224336722,348.47559997009625,400.2328338073942,16882.264647885724,6563.309966464221,32721.550508313347,13324.455366892134,20517.716896008507,49931005.796998166,8270.12855789418,25259.02136333225,11002.85787676657
2002-01-01,48328.81179737301,5.877729391865252,44224.482406562456,988.5663407795901,7076.64763387692,771.8631788482497,1917316.7687153388,28032.94627995298,32780.466141221885,67.25003708164002,427282.8616789287,47423.91587592515,206.4590198187016,7466668.580091322,222.71716449045516,315.5719214026923,36097.742475947,23143.568692596204,11109.757011304322,2820.1262515781573,77673.4016972713,3954.8641458115653,94.81245780007474,5.769328916835558,7464133.594433858,841.5015791004329,584642.948629574,24496.710233370595,12318.149002642649,1207.153395338577,1441087.5923687993,129536.99816982273,2423.9478811765857,678.5143641659355,154980.45242289364,463.5068661559417,632.7019772727496,188.6788623654669,1701.1037098785685,471.8086338564999,14485.794337348698,19239.20474862547,369.2666666666666,-65493.356228657365,435.2518107935491,39933.75190967428,4419.285678184602,88.78006746405822,223.79357776570586,1681.2597810880325,5834.669345458674,388138.7560376216,4247.2519795676635,12589.668028555263,467.8939555354599,69952.59760262017,125553.39173352074,5601.328004134974,112.24027588258559,308.76747772277224,249.7851196519384,137409.65596410638,44419.77832707728,649475.426367789,11.475704323971982,140.84513071421526,431886.25591655297,324.1233938999864,628.1448963527623,16791.174556123322,8639.972533723172,32721.550508313492,15620.023439420098,24809.13457785194,48256187.80783327,3676.6586549027074,9064.450667121786,14781.162877731098
2003-01-01,59148.85112669578,6.140388124229181,81760.12741504278,985.0984486259637,5198.928084290293,736.6467200398738,2822957.0994089497,66271.88360207294,30836.980937589127,59.960584322823706,145531.51184700782,22869.865287950724,262.3875958001554,9385199.26775991,284.3214926087142,310.32433138695075,91229.65899521779,32056.421267152844,14845.748044848046,3317.2042569486666,83148.7538358673,2010.792075469119,91.14931273392496,2.5285168627391146,7786446.63788705,844.3593566453892,658874.9061372905,36141.93689535714,12581.01949316989,841.870908013922,1575700.8563794116,150470.70659523908,2610.125234627003,678.5143641659366,184054.3178312038,422.1117407957202,637.5578752498672,1212.8420250760626,1520.5071218335638,663.3278988291389,14800.854921145728,16655.070695474657,369.26666666666665,70064.48780384494,438.9234579009597,42472.54681383611,5065.492772733425,101.16849624845831,216.8672132186963,1764.6334015145999,5822.568285665274,296898.9104196811,6419.758196189932,14083.497732535237,467.9581536409645,49107.95486938777,128195.61327648822,5929.1520868849475,112.24027588258565,583.4009499257405,198.0485365809979,99258.82582508147,37766.7859382394,825451.5728618545,11.475704323971982,254.99480480930015,327274.53812057455,315.01976546256213,633.390283292817,17140.717601579578,25879.38543128907,196878.04213995533,15448.875049627004,74897.24837097625,47266618.77253243,3849.7492382389123,3630.821174128159,13607.1078403375
2004-01-01,36704.78879633064,7.97899925077669,132289.78786854728,982.8572548850547,5789.584371179489,845.6873110169192,3999701.212462543,135961.32923575357,13993.31219368314,58.187474192300826,246824.51954890398,46146.69032974382,114.84859431800963,11922926.80800926,341.8188655190894,115.7071886292321,110842.53454332,62232.05108608298,14609.231424357953,3202.1535613436217,62857.9364241576,369.3990281781637,179.06479432151986,2.528516862739114,7182509.622281353,1276.1695436883324,779609.3606789387,43578.37375179121,1795.5797087228439,1981.9498548476072,1673678.934476941,307805.55641823565,2046.299031523608,677.8987434644492,120005.05027584184,447.66029472898236,632.3782507409414,1237.640542469817,1165.5301326509193,876.8949142367727,25265.312413635485,16773.973434341002,369.26666666666665,108855.20431996872,443.4110265877949,52727.60111893417,3823.8663841022353,48.02865698905797,215.4411969884296,1425.5437352542917,5348.033869481372,516266.6393413263,5782.096492185859,9424.313963684464,467.75198830680176,78447.70517398823,113737.95629159932,10029.103329673371,575.777198073085,394.5741146508114,308.09142755728396,77484.84897770279,-17156.438518643536,686961.199807762,11.475704323971982,320.96619919039233,479337.62008929206,311.6059047985281,999.7805610556242,18846.89574701715,40562.00211768874,508580.11316379067,12195.953074242843,126085.1328601966,44422401.54557663,3860.0318471499727,4902.241270564409,18082.306651917366
2005-01-01,24703.622086346324,7.453681786048831,183512.9939316942,992.4598176175801,4906.824047215172,332.30960038815005,3802015.048636632,201395.2359312287,25903.45350238323,58.77851090247512,338163.1016587317,60530.585323672276,167.7103598497169,8212037.913435107,416.05997889237597,115.2508764539502,84310.08061951638,69805.05025897798,7403.823930813903,3190.648491783118,49277.48009089272,584.2347594781312,179.0647943215198,2.2338975850939837,7118182.321252661,1511.3646356382615,905429.751096238,52950.9973187728,7630.951634963951,4760.581673394743,1566781.723457288,602010.6494858474,2810.714421124924,690.8267781956589,124926.35645558305,447.66029472898236,591.2649812013818,1060.2303949675425,2767.997683818321,729.8002210361373,23372.07427049018,7223.020347854392,369.2666666666666,49969.98554909395,443.4110265877948,73055.50287604678,5114.634068914848,50.96275854325787,215.84863019707726,140.53954596049422,5365.3210977576555,448035.95647716057,8743.979401997203,21604.909386820647,467.1196423783737,97197.06606546263,205835.13252096635,16335.168404812961,575.777198073085,552.6489692772948,299.60553297951066,80853.31702310266,-5759.310783402112,672582.8749273643,11.475704323971982,300.16194204116823,477149.0792764353,311.60590479852806,1103.1146837746983,19124.295439797585,56051.85744506894,916376.8683958307,18547.500122731784,110367.53583122636,47221901.53393048,3888.3090216553937,3231.909823898678,41607.86941821971
