country,best_arima,mse,mape,corr,minmax
Argentina,"(3, 0, 1)",3973539027.5263805,0.09037269454220859,0.8162375330984695,0.08846454770863899
Australia,"(1, 0, 2)",1879777835.7587254,0.34325775773125916,0.95687971069451,0.2075953376918368
Austria,"(2, 0, 0)",406360.221481235,0.14324889597523954,0.8889343477846472,0.14117660811078858
Bahrain,"(1, 0, 0)",13912.70252871856,0.24883564331806365,0.8884360287622037,0.24465203677309022
Belgium,"(5, 0, 0)",142433538.61273444,0.042384406140513524,0.5862598377159488,0.04152159822737089
Bolivia (Plurinational State of),"(4, 0, 1)",391914.0532793303,0.3428562441290446,0.8429147712153018,0.25898689123539753
Botswana,"(1, 0, 0)",2162059.0238695503,0.7404214439707646,0.46139528262711677,0.32525140323593404
Brazil,"(1, 0, 0)",21523726199.51021,0.16329094043431153,0.854333093465056,0.15930972210588157
Bulgaria,"(1, 0, 0)",52951621.025241114,0.15965000967751244,0.9366336184564367,0.15935196567366616
Cameroon,"(1, 0, 0)",7459750.1717554,0.39516918359187847,0.9485725917508425,0.37018669374122515
Canada,"(1, 0, 0)",842816.3266569893,0.13069713911045602,0.5578225739992492,0.12099494132711308
"China, Hong Kong SAR","(1, 0, 1)",178960.46178867455,0.032075829596824076,0.9803433706841083,0.031550055053806925
"China, Macao SAR","(1, 0, 0)",11017.322407947888,15.416943686961908,-0.15109743632711925,0.7479722157728489
"China, Taiwan Province of","(4, 0, 0)",74362868.79188159,2.392039545511743,0.9194077493567585,0.5280512530598136
"China, mainland","(1, 0, 2)",25571404291.53699,0.23301385465989075,0.8596015960084094,0.17555479702817722
Croatia,"(0, 0, 2)",849.2476899179627,0.20886735359201591,0.9646213964394266,0.15714448125635916
Czechia,"(4, 0, 1)",620483.6479652774,0.03680457453525394,0.8883011232068356,0.0366767061169474
C̫te d'Ivoire,"(1, 0, 0)",47728714.29339275,0.19772650451729126,0.229319511687696,0.18671814326906333
Denmark,"(1, 0, 2)",319469.7327069279,0.07531149112291473,0.9688419690010409,0.0748539510388001
Egypt,"(3, 0, 0)",11661235172.480839,0.7218882450883162,0.8414433598801562,0.4719701158622295
El Salvador,"(1, 0, 0)",3318389.6655536317,0.20550060224786335,0.8854260466961152,0.201748965559451
Estonia,"(4, 0, 0)",6653.843478383718,0.19416143467134092,0.7117407303865293,0.17516974283313258
Fiji,"(0, 0, 2)",38179.005546026136,0.18569611774717668,0.6049424707095548,0.18569309599113637
France,"(1, 0, 2)",15315851.428466937,0.041001429573952565,0.8411852706003665,0.038829261785653046
Germany,"(6, 0, 0)",55307429.81491071,0.05036413396154682,0.9566066708555415,0.05014988170254542
Greece,"(1, 0, 2)",126665601.53012095,0.08413593439304892,0.8151628538606223,0.08341893541127887
Guatemala,"(2, 0, 0)",150169.18516211509,0.4088226168269601,0.9716931538809521,0.27184052858236674
Guyana,"(4, 0, 0)",2561804056.857816,0.2280584874693074,0.862595111263315,0.200948351176105
Honduras,"(1, 0, 0)",1280942.335174947,0.39471305102595866,0.6081250835027022,0.31329357385005885
Hungary,"(1, 0, 0)",1321696.363018767,0.2905643795127125,0.6470043366162808,0.2620865242024608
India,"(1, 0, 2)",1774940145074.6116,0.17220796818932949,0.953185210200399,0.16809896619165188
Iran (Islamic Republic of),"(1, 0, 0)",2002551.4365851176,2.358036702323411,0.7271031912478582,0.4896751078191399
Ireland,"(1, 0, 2)",2592.650099836277,0.10643272533992808,0.9307773698846546,0.10590985845058598
Israel,"(0, 0, 1)",8502.862273403318,0.28369892319085177,0.9146993879615298,0.2518361919816636
Italy,"(1, 0, 0)",434991740.92996323,0.023210079912370393,0.669210556005145,0.022828917950380667
Japan,"(1, 0, 0)",37372355.25968479,0.1608177269408918,0.00048421037928074874,0.12784024131101035
Kazakhstan,"(3, 0, 1)",119678817.69238165,0.348537688935688,0.8580463490410581,0.2681333238718808
Kuwait,"(2, 0, 0)",2719457.3342701183,137.3756765350577,0.6140603730645127,0.5117566495580488
Kyrgyzstan,"(1, 0, 0)",263502.0279867157,0.8755733885040904,0.5751409313529617,0.39667166569515144
Latvia,"(3, 0, 0)",24656.403596614564,0.10084838047794535,0.9751774517303449,0.10070430581856016
Lebanon,"(1, 0, 2)",620069.2830883804,0.25254816859479373,0.3327295680920143,0.22334582770187916
Lithuania,"(5, 0, 0)",117474.23593367403,0.0760120769334082,0.8676350918350946,0.07170233468348419
Luxembourg,"(4, 0, 0)",15.556467421916725,0.04795257118392664,0.8649094870156722,0.046912857388328955
Madagascar,"(0, 0, 2)",33094.477927903354,1.6269174108917381,0.8047846032999184,0.5044048899759428
Malaysia,"(1, 0, 0)",124576637.81278746,0.6843055010146178,0.8582790758295581,0.4580164413609463
Malta,"(0, 0, 2)",18.594744858657364,0.1693502643463696,0.5560217939076925,0.16162569033400365
Mauritius,"(0, 0, 2)",54413.24042452044,0.22747898977204883,0.589489626710561,0.2164195669515634
Mexico,"(2, 0, 1)",86069907.04848948,0.303719136257015,0.43403423025647087,0.294530730023261
Morocco,"(0, 0, 1)",913343.5525116319,0.8734097883608308,0.4121152136946443,0.7099043030633222
Netherlands,"(2, 0, 2)",40748629.905521825,0.03836619650182381,0.9524507426203389,0.038134499517376796
New Zealand,"(0, 0, 2)",4394.773666098364,0.13739897858658756,0.7741008589273246,0.1360276130227741
Nicaragua,"(5, 0, 0)",2668328.015672837,0.16799516942161363,0.8780038049756201,0.162228849648952
Niger,"(1, 0, 0)",607181069.6293042,0.31917058021650546,0.7140516404904568,0.29032954695766655
North Macedonia,"(3, 0, 0)",2640679.855647831,0.24944487115843128,0.8628978532713404,0.23493443957264626
Oman,"(1, 0, 0)",42901035.843836844,0.3643548281605882,0.19273243241749005,0.33157055088679355
Pakistan,"(1, 0, 0)",52522376271.546074,0.060911074142161695,0.7665166828579909,0.059519788067972645
Paraguay,"(1, 0, 0)",3001145493.114372,0.19424456481015467,0.9919498926956414,0.19424456481015473
Peru,"(1, 0, 0)",62123637.447619505,0.6238842735391253,0.3090580647473687,0.38420456003117087
Poland,"(2, 0, 0)",3306604.472484592,0.10289571533448355,0.9845311651303299,0.10254141224171098
Portugal,"(2, 0, 0)",109481686.32331069,0.2240400072648629,0.9350549194589007,0.22024355391893213
Republic of Korea,"(0, 0, 2)",438627.4607951,0.22473609473952452,0.826029273446126,0.2245510441570523
Romania,"(1, 0, 0)",97322991.05925618,0.3612632170691462,0.724457447414824,0.3290858762758625
Russian Federation,"(1, 0, 0)",2311093017.8853316,0.2817656181274368,0.8534114919206379,0.2732150320611051
Saudi Arabia,"(0, 0, 2)",6199559.669541677,0.23516069115363505,0.7952729320363658,0.21408133344376656
Senegal,"(1, 0, 0)",177126550.59855464,0.10343981789876884,0.8356507368378682,0.10200073301407742
Singapore,"(1, 0, 0)",628296023.2569592,0.28130144312263644,0.8262112716648813,0.2544142133757531
Slovakia,"(4, 0, 0)",3885881.467478786,0.46854883919386864,0.7136959201701186,0.3571927146354159
Slovenia,"(2, 0, 0)",3425638.6485980786,0.2416311246083522,0.8691837550179228,0.2128403766842426
South Africa,"(1, 0, 0)",310519057.823527,0.19827022308920253,0.9577914445861626,0.19704878851162222
Spain,"(1, 0, 2)",598661351.874964,0.0724134769293408,0.8843806703377831,0.070216425577457
Sweden,"(0, 0, 1)",2387548.707800216,0.9632536457682844,0.8552149715827572,0.5621063513096447
Switzerland,"(2, 0, 0)",130316.42080390773,0.2900931121641267,0.9462733961838828,0.28859680680867394
Thailand,"(3, 0, 0)",234651910391.02032,0.04321147718217675,0.8182053918944912,0.04230428193906277
Togo,"(0, 0, 0)",780456.9122925333,0.8276132261215756,-0.425740622673679,0.4409615947920347
Turkey,"(1, 0, 0)",390816162.9274218,0.5144746649785392,0.6612101032592451,0.4315634078713224
Uganda,"(1, 0, 0)",53747950.49803387,0.14564262010814502,0.904034543355075,0.14232353411041032
United Kingdom,"(2, 0, 2)",9039489.101339124,0.04423094806201381,0.9275279541130491,0.0442144349405732
United Republic of Tanzania,"(2, 0, 0)",60980625.50033324,0.3313599593549784,0.81620033961706,0.25007920160758457
United States of America,"(2, 0, 2)",19743500120.133503,0.02661577625826202,0.645681994368825,0.026426384670729774
Uruguay,"(1, 0, 0)",3182470153.2175946,0.046653320438609744,0.5587024769109946,0.04470007568543566
Venezuela (Bolivarian Republic of),"(2, 0, 2)",6530898.445233904,231.90887926385116,0.7512036962593616,2.5434141999271733
Zambia,"(0, 0, 0)",558517.1536239035,0.7413490209135568,-0.9537303764531541,0.46280310663661284
Zimbabwe,"(1, 0, 0)",37302.85990476408,0.3195731729358976,0.9048595425654704,0.31847631392528064
